Restaurant ID,Restaurant Name,Has Table booking,Has Online delivery,Is delivering now,Price range,aggregateID,Aggregate rating,Votes,Address,Cuisines,Longitude,Latitude
17303670,Goldy's Breakfast Bistro,No,No,No,2,6,4.5,879,"108 S Capitol Blvd, Boise, ID 83702","Breakfast, Sandwich",-116.2023,43.6149
17303545,Chandlers Steakhouse,No,No,No,4,4,3.9,379,"981 W Grove St, Boise, ID 83702","American, Seafood, Steak",-116.2064,43.6157
17303655,Bar Gernika Basque Pub & Eatery,No,No,No,1,5,4.3,303,"202 S Capitol Blvd, Boise, ID 83702","European, Spanish",-116.2031,43.614
17304691,Barbacoa Restaurant,No,No,No,4,5,4.1,538,"276 Bobwhite Ct, Boise, ID 83706","Latin American, Steak",-116.185034,43.597235
17303478,Big Jud's,No,No,No,1,5,4.2,334,"1289 Protest Rd, Boise, ID 83706","American, Burger, Sandwich",-116.2062,43.5945
17303480,Bittercreek Ale House,No,No,No,2,5,4.3,555,"246 N 8th St, Boise, ID 83702","American, Bar Food",-116.2022,43.6167
17304733,Boise Fry Company,No,No,No,1,5,4.4,823,"204 N Capitol Blvd, Boise, ID 83702","American, Burger",-116.193409,43.610279
17303646,Flying Pie Pizzaria,No,No,No,2,5,4.1,550,"6508 W Fairview Ave, Boise, ID 83704",Pizza,-116.2625,43.6192
17304929,Fork,No,No,No,2,5,4.4,650,"199 N 8th St, Boise, ID 83702","American, Burger",-116.202845,43.616295
17303684,Guido's Original New York Style Pizza,No,No,No,1,5,4.3,410,"235 N 5th St, Boise, ID 83702",Pizza,-116.199,43.615
17303772,Los Beto's,No,No,No,1,5,4.4,660,"5220 W Fairview Ave, Boise, ID 83706",Mexican,-116.2463,43.6191
17305123,Lucianos Italian Restaurant,No,No,No,2,5,4.4,360,"11 N Orchard St, Boise, ID 83706","Italian, Seafood, Vegetarian",-116.245165,43.6051379
17303787,Mai Thai Restaurant,No,No,No,3,5,4,340,"750 W Idaho St, Boise, ID 83702","Sushi, Thai",-116.2021,43.6162
17303990,Shige Japanese Cuisine,No,No,No,2,5,4.1,393,"100 N 8th St, Boise, ID 83702","Japanese, Sushi, Teriyaki",-116.2031,43.6156
17304741,The Egg Factory,No,No,No,1,5,4.3,422,"8061 W Fairview Ave, Boise, ID 83704",Breakfast,-116.281809,43.619274
17304726,Tucanos,No,No,No,3,5,4,435,"1388 S Entertainment Ave, Boise, ID 83709",Brazilian,-116.280614,43.591706
17304486,Texas Roadhouse,No,No,No,2,5,4,369,"3801 E Fairview Avenue, Meridian, Boise, ID 83642","American, BBQ, Steak",-116.347304,43.619108
17304533,Brick 29,No,No,No,3,5,4.4,487,"320 11th Avenue S, Nampa, ID 83651",American,-116.5629,43.5777
17316233,Winifreds,No,No,No,3,4,3.7,98,"3847 1st Ave SE, Cedar Rapids, IA 52402","American, Mediterranean, Seafood",-91.6336,42.0179
17315883,Biaggi's Ristorante Italiano,No,No,No,3,5,4.1,365,"320 Collins Rd NE, Cedar Rapids, IA 52402","Italian, Pizza",-91.6327,42.0281
17315995,El Super Burrito,No,No,No,1,5,4.1,190,"3300 Johnson Ave NW, Cedar Rapids, IA 52405",Mexican,-91.7148,41.9748
17316018,Granite City Food & Brewery,No,No,No,3,5,4.1,429,"4755 1st Ave SE, Cedar Rapids, IA 52402","American, Breakfast, Burger",-91.6224,42.0249
